& https://raw.githubusercontent.com/padagraph/Clics/master/nodes.csv
_Edge:, languages, families, weight, width
0 -- 273, 1.0, 1.0, 1.0, 1
0 -- 1073, 1.0, 1.0, 1.0, 1
0 -- 2, 7.0, 5.0, 5.0, 5
0 -- 535, 1.0, 1.0, 1.0, 1
0 -- 486, 1.0, 1.0, 1.0, 1
0 -- 537, 1.0, 1.0, 1.0, 1
0 -- 714, 2.0, 2.0, 2.0, 2
0 -- 1029, 1.0, 1.0, 1.0, 1
0 -- 675, 1.0, 1.0, 1.0, 1
0 -- 342, 4.0, 2.0, 2.0, 2
0 -- 225, 2.0, 2.0, 2.0, 2
0 -- 1248, 1.0, 1.0, 1.0, 1
0 -- 1115, 8.0, 7.0, 7.0, 7
0 -- 855, 2.0, 2.0, 2.0, 2
0 -- 230, 1.0, 1.0, 1.0, 1
0 -- 231, 1.0, 1.0, 1.0, 1
0 -- 1116, 1.0, 1.0, 1.0, 1
0 -- 165, 1.0, 1.0, 1.0, 1
0 -- 52, 1.0, 1.0, 1.0, 1
0 -- 1075, 1.0, 1.0, 1.0, 1
0 -- 800, 1.0, 1.0, 1.0, 1
0 -- 1, 1.0, 1.0, 1.0, 1
0 -- 512, 1.0, 1.0, 1.0, 1
0 -- 574, 1.0, 1.0, 1.0, 1
0 -- 279, 1.0, 1.0, 1.0, 1
0 -- 836, 1.0, 1.0, 1.0, 1
0 -- 1139, 1.0, 1.0, 1.0, 1
0 -- 327, 2.0, 2.0, 2.0, 2
0 -- 1106, 1.0, 1.0, 1.0, 1
0 -- 1184, 1.0, 1.0, 1.0, 1
0 -- 132, 2.0, 1.0, 1.0, 1
0 -- 754, 1.0, 1.0, 1.0, 1
0 -- 1060, 1.0, 1.0, 1.0, 1
0 -- 461, 1.0, 1.0, 1.0, 1
0 -- 948, 2.0, 2.0, 2.0, 2
0 -- 457, 1.0, 1.0, 1.0, 1
0 -- 950, 1.0, 1.0, 1.0, 1
0 -- 706, 1.0, 1.0, 1.0, 1
0 -- 137, 1.0, 1.0, 1.0, 1
0 -- 134, 2.0, 2.0, 2.0, 2
1 -- 511, 1.0, 1.0, 1.0, 1
1 -- 1150, 2.0, 1.0, 1.0, 1
1 -- 384, 2.0, 1.0, 1.0, 1
1 -- 259, 1.0, 1.0, 1.0, 1
1 -- 721, 1.0, 1.0, 1.0, 1
