@Concept: #id, key, label, concept, body_part, frequency
0, 6.11, put on (clothes), put on (clothes), 0.0, 279.0
1, 6.13, tailor, tailor, 0.0, 167.0
2, 6.12, clothing/ clothes, clothing/ clothes, 0.0, 306.0
3, 10.852, row (vb), row (vb), 0.0, 207.0
4, 9.25, ax, ax, 0.0, 241.0
5, 10.851, paddle (noun), paddle (noun), 0.0, 172.0
6, 4.191, spine, spine, 1.0, 245.0
7, 9.24, scissors/ shears, scissors/ shears, 0.0, 203.0
8, 5.71, fruit, fruit, 0.0, 234.0
9, 5.76, grape, grape, 0.0, 149.0
10, 5.77, nut, nut, 0.0, 181.0
11, 3.91, firefly, firefly, 0.0, 186.0
12, 15.212, sniff, sniff, 0.0, 230.0
13, 2.38, married man, married man, 0.0, 177.0
14, 5.78, olive, olive, 0.0, 90.0
15, 5.79, oil, oil, 0.0, 209.0
16, 4.342, thumb, thumb, 1.0, 219.0
17, 4.321, wrist, wrist, 1.0, 202.0
18, 4.732, conceive, conceive, 0.0, 187.0
19, 10.451, limp, limp, 0.0, 225.0
20, 12.46, west, west, 0.0, 245.0
21, 12.47, north, north, 0.0, 217.0
22, 12.44, far (adv), far (adv), 0.0, 269.0
23, 12.45, east, east, 0.0, 242.0
24, 10.48, come, come, 0.0, 283.0
25, 12.43, near (adv), near (adv), 0.0, 304.0
26, 12.41, right (side), right (side), 0.0, 446.0
27, 10.44, dance, dance, 0.0, 258.0
28, 10.45, walk, walk, 0.0, 322.0
29, 10.46, run, run, 0.0, 284.0
30, 10.47, go, go, 0.0, 331.0
31, 10.41, creep/ crawl, creep/ crawl, 0.0, 256.0
32, 12.48, south, south, 0.0, 226.0
33, 10.43, jump/ leap, jump/ leap, 0.0, 302.0
34, 8.62, beech, beech, 0.0, 106.0
35, 8.63, birch, birch, 0.0, 120.0
36, 8.61, oak, oak, 0.0, 136.0
37, 8.66, acorn, acorn, 0.0, 105.0
38, 8.67, vine, vine, 0.0, 222.0
39, 8.64, pine, pine, 0.0, 144.0
40, 8.65, fir, fir, 0.0, 128.0
41, 8.68, tobacco, tobacco, 0.0, 235.0
42, 1.352, tide, tide, 0.0, 125.0
43, 14.47, today, today, 0.0, 252.0
44, 14.71, month, month, 0.0, 218.0
45, 4.412, nipple/ teat, nipple/ teat, 1.0, 251.0
46, 3.97, crocodile/ alligator, crocodile/ alligator, 0.0, 221.0
47, 19.12, one's native country, one's native country, 0.0, 193.0
48, 12.56, small/ little, small/ little, 0.0, 340.0
49, 21.47, perjury, perjury, 0.0, 142.0
50, 11.34, release/ let go, release/ let go, 0.0, 258.0
51, 11.32, find, find, 0.0, 270.0
52, 11.33, lose, lose, 0.0, 264.0
53, 11.31, seek/ look for, seek/ look for, 0.0, 267.0
54, 2.1, person/ human being, person/ human being, 0.0, 319.0
55, 3.832, mosquito, mosquito, 0.0, 246.0
56, 3.831, sandfly (midge)/ gnat, sandfly (midge)/ gnat, 0.0, 250.0
57, 4.96, mute, mute, 0.0, 219.0
58, 10.13, turn around, turn around, 0.0, 279.0
59, 4.212, eyebrow, eyebrow, 1.0, 235.0
60, 6.77, earring, earring, 0.0, 233.0
